BemisCode,SessionId,SchoolName,District,Tehsil,SubTehsil,UC,WardName,WardNo,VillageName,NA,PA,ClusterBemiscode,ClusterName,ClusterDDOCode,SchoolContactNo,ClusterFeedingSchoolsPrimary,ClusterFeedingSchoolsMiddle,Location,Zone,Shift,Gender,SchoolLevel,FunctionalStatus,ReasonOfNonFunctional,DisableStudentsInSchool,IfYesThenMentionFacilities,RampforStudentsOrTeachers,Building,SchoolOwnedBy,BuildingStructure,BuildingCondition,SpaceForNewRooms,NoOfRoomsWithWindowsAndVantilation,ProperSeverageSystem,WaterFacilityInToilets,BoundaryWall,BoundaryWallStructure,BoundaryWallCondition,PlayGround,ElectricityInArea,ElectricityInSchool,IfYesThenNametheSourceElectricity,IfNoThenGiveTheDistanceOfNearestPoll,GasInArea,GasInSchool,IfYesThenNametheSourceGas,GovtDrinkingWaterScheme,DrinkingWaterAtSchool,SourceOfWater,WaterTank,IfNoThenGiveTheDistanceOfNearestWaterSource,TelephoneAvailabe,FunctionStatusTelephone,ClosedReasonTelephone,InternetAvailabe,FunctionStatusInternet,ClosedReasonInternet,ScienceLab,FunctionStatusScienceLab,ClosedReasonScienceLab,ComputerLab,LibraryAvailable,CleaningResponsibility,WashbasinAvailable,WaterforWashBasin,SoapForWashBasin,CleaningCycleOfWashBasin,TeacherUsesTeachingMeterialOnHealth,MajorDiseaseCauseForAbsentism,FirstaidKit,TrainingOnFirstAidKit,InspectionOfCleaning,SeprateRoomForECE,FullTimeTeacherForECE,TrendExtraCracularActivity,Activity1,AudioAndVideoEquipment,TeacherUsesAudioAndVideoEquipment,TrainingOnMHMKits,MHMKitsAtSchool,PTSMC,PTSMCParticipatedInAnyActivityCurrentYear,NumberOfMeetingsConducted,MeetingRecordesAvailable,ChildOfPTSMCMembersAreEnrolled,AnySDPFormPTSMCLast3Years,ExaminationHall,NumberOfVisitByEducationalManager,Kacha Room,Pakka Room,Kacha HMR,Pakka HMR,Kacha Clerk Office,Pakka Clerk Office,Kacha Hall,Pakka Hall,Kacha Staff Room,Pakka Staff Room,Kacha Guard Room,Pakka Guard Room,Kacha Toilet,Pakka Toilet,KachaSportsRoom,PakkaSportsRoom,KachaResourceCenter,PakkaResourceCenter,KBSch,KBSt,KGSch,KGSt,PBSch,PBSt,PGSch,PGSt,2BSch,2BSt,2GSch,2GSt,3BSch,3BSt,3GSch,3GSt,4BSch,4BSt,4GSch,4GSt,5BSch,5BSt,5GSch,5GSt,6BSch,6BSt,6GSch,6GSt,7BSch,7BSt,7GSch,7GSt,8BSch,8BSt,8GSch,8GSt,9BSch,9BSt,9GSch,9GSt,10BSch,10BSt,10GSch,10GSt,11BSch,11BSt,11GSch,11GSt,12BSch,12BSt,12GSch,12GSt,TotalSchoolProfileStudents,TotalStudentProfileEntered,SencTeaching,AppTeaching,Teaching Male,Teaching Female,TotalTeachingStaff,SencNonTeaching,AppNonTeaching,Nonteaching Male,Nonteaching Female,TotalNonTeachingStaff,Source,_xCord,_yCord
01011,9,GBPS GORISTEEN MANA,ZIARAT,ZIARAT,ZIARAT ,MANNA ,MANNA ,03,GORISTEEN MANA,263,7,01003,GBHS MASORY MANNA,,03337887120,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,1,No,No,No,,,No,Yes,No,,100|m,Yes,No,,No,No,Nothing,Yes,100|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,3,3,3,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,12,10,2,1,2,0,2,,,0,0,0,EMIS,30.47193334,67.70921694
01012,9,GBMIDS SASSNAK MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,Killi Landi,2,SASSNAK MANA,263,7,01072,GBHS MANNA,,03327977280,,,Rural,Winter,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,7,No,No,Yes,Pakka,Need Repair,No,Yes,No,,200|m,No,No,,No,No,Nothing,Yes,500|m,No,,,No,,,No,,,No,Yes,Students,No,No,No,Weekly,No,Ghazayat Ki Kami,No,No,No,No,No,Yes,,No,No,,,Yes,Yes,Yes,Yes,Yes,No,No,0,0,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,10,17,17,34,34,15,15,28,28,19,19,23,23,4,4,30,30,5,5,22,22,3,3,8,8,1,1,10,10,6,6,8,8,1,1,,0,,0,,0,,0,,0,,0,,0,,0,244,244,11,8,8,0,8,2,2,2,0,2,RTSM,30.48027487,67.7860089
01013,9,GBPS KILLI YAR MUHAMMAD SASSNAK MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,Killi Landi,02,SASSNAK MANA,263,7,01072,GBHS MANNA,,03360218061,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,Yes,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,Yes,Pakka,Need Repair,Yes,Yes,No,,100|m,No,No,,No,Yes,Well,No,50|m,,,,,,,,,,,,Sweeper,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,,No,No,,,Yes,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,11,11,4,4,3,3,8,7,12,13,4,4,3,3,6,6,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,74,74,3,1,1,0,1,,,0,0,0,EMIS,30.48003869,67.78284284
01014,9,GBPS SOORY MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,Karni Landi,01,SOORY MANA,263,7,01072,GBHS MANNA,,03346613408,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,1,No,No,Yes,Pakka,Complete,No,Yes,No,QESCO,0|km,No,No,,No,No,Nothing,No,1|km,,,,,,,,,,,,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,Yes,,No,Yes,No,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,5,0,0,2,2,1,1,1,1,2,2,2,2,1,1,,0,,0,1,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,15,15,2,2,2,0,2,,,0,0,0,EMIS,30.46711144,67.74572246
01015,9,GBPS SHARQI ZARGI,ZIARAT,ZIARAT,ZIARAT ,SPAZANDI ,SHARQI ZARGAI,468010125,SHARQI ZARGAI,263,7,01075,GBHS SPAZANDI,,03337795735,,,Rural,Winter,Single Shift,Boys,Primary,Functional,,Yes,no,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,No,,,No,Yes,No,,500|m,No,No,,No,No,Nothing,Yes,2|km,,,,,,,,,,,,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,4,4,3,3,2,2,3,3,6,6,3,3,1,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,28,28,2,2,2,0,2,,,0,0,0,EMIS,30.50078831,67.69229839
01016,9,GBPS PONGA SARANG ZAI,ZIARAT,ZIARAT,ziarat,ZIARAT,ziarat bazar,3,PONGA SARANG ZAI,6,261,01102,GBMODHS ZIARAT,,03368181692,,,Urban,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,Yes,No,Yes,Pakka,In-Complete,No,Yes,No,,50|m,Yes,No,,No,No,Well,No,00|m,,,,,,,,,,,,Sweeper,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,,No,No,,,Yes,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,30,0,0,10,10,0,0,5,5,0,0,2,2,0,0,7,7,0,0,1,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,55,55,3,3,4,0,4,,,0,0,0,EMIS,30.38421286,67.72323303
01017,9,GBPS WANGI SHAHBAZ KHAN AKRAM SARKHOBI,ZIARAT,ZIARAT,ZIARAT,ZIARAT,GHOSKI,01,AKRAM SAKHOBI,6,261,01102,GBMODHS ZIARAT,,03351717707,,,Urban,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,No,,,Yes,Yes,No,,300|m,No,No,,No,No,Nothing,No,150|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,Yes,No,Yes,,No,No,,,Yes,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,4,4,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,19,19,2,2,2,0,2,,,0,0,0,EMIS,30.46906356,67.59084449
01018,9,GBPS WACH GHOSKI,ZIARAT,ZIARAT,ZIARAT,ZIARAT,WACHA GHOSKI,4,WACH GHOSKI,6,258,01102,GBMODHS ZIARAT,,03328094380,,,Urban,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,2,No,No,No,,,No,Yes,No,,100|m,No,No,,No,No,Well,No,100|m,,,,,,,,,,,,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,Sports,No,No,,,Yes,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,5,5,5,5,3,3,3,3,5,5,2,2,0,0,2,2,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,32,32,3,1,1,0,1,,,0,0,0,EMIS,30.38352361,67.74756646
01019,9,GBPS NEW BASARGI,ZIARAT,ZIARAT,ZIARAT,ZIARAT,BASTARGI,03,NEW BASARGI,6,258,01102,GBMODHS ZIARAT,,03438203963,,,Urban,Summar,Single Shift,Boys,Primary,Functional,,No,,No,No,,,,Yes,0,No,No,No,,,No,Yes,No,,100|m,No,No,,No,No,Nothing,No,100|m,,,,,,,,,,,,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,,No,No,,,No,,,,,,,0,,,,,,,,,,,,,,,,,,,11,11,14,14,,0,,0,1,1,1,1,,0,,0,1,1,0,0,2,2,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,30,30,1,1,1,0,1,,,0,0,0,EMIS,30.46775763,67.6108142
01020,9,GBPS BASARGI,ZIARAT,ZIARAT,Ziarat,ZIARAT,ziarat,02,BASARGI,6,258,01102,GBMODHS ZIARAT,,0000,,,Urban,Summar,Single Shift,Boys,Primary,Non-Functional,,No,,No,No,,,,Yes,0,,No,No,,,No,No,No,,|km,No,No,,No,No,Nothing,No,|km,,,,,,,,,,,,No One,No,No,No,Weekly,No,Others,No,No,No,No,No,No,,No,No,,,No,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,EMIS,30.47294496,67.58816289
