BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,VillageName,Gender,CurrentLevel,RecommendedLevel,TotalStudentProfileEntered,Building,BuildingCondition,ElectricityInSchool,Latitude,Longitude,NearbyHigherSchools,NearbySameLevelSchools,UpgradeReason,SearchRadius_km,AnalysisDate
3326,GBPS KILLI RASOOL BAKHSH,KALAT,KALAT,KALAT,CHAPAR,CHAPPAR,Boys,Primary,Middle,67,Yes,Need Repair,No,66.9767635402889,30.1354055576624,0,0,"No Middle school within 10.0km, only Primary school in area",10.0,2025-07-29 16:47:16
3321,GBMIDS SHEIKHRI,KALAT,KALAT,KALAT,ASKALKO,SHEIKHRI,Boys,Middle,High,85,Yes,Need Repair,No,66.8374586559257,29.1896226657275,0,0,"No High school within 10.0km, only Middle school in area",10.0,2025-07-29 16:47:16
9748,GGHS PURANA THANA MANGOCHAR,KALAT,MANGUCHER,MANGOCHAR,MEHMOOD GOHRAM,PURANA THANA MANGOCHAR,Girls,High,Higher Secondary,611,Yes,Need Repair,Yes,66.6371998565069,29.3484063688577,0,9,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:16
3266,GBHS PURANA THANA MANGUCHER,KALAT,MANGUCHER,MANGOCHER,MEHMOOD GOHRAM,PURANA THANA,Boys,High,Higher Secondary,356,Yes,Need Repair,Yes,66.6377716666666,29.3481683333333,0,8,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:16
11922,GGHS KILLI DURAK ZAI,KALAT,MANGUCHER,MANGOCHER,MEHMOOD GOHRAM,KILLI DURAK ZAI,Girls,High,Higher Secondary,260,Yes,Need Repair,Yes,66.5891522919794,29.3482608086171,0,15,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:16
3292,GBHS NIMURGH,KALAT,KALAT,KALAT,NIMARGH,SHEIKH RAJAB NIMURGH,Boys,High,Higher Secondary,202,Yes,Need Repair,No,66.2991713804514,29.1697555494741,0,0,"No Higher Secondary school within 10.0km, only High school in area",10.0,2025-07-29 16:47:16
3294,GBHS CHATI KALAT,KALAT,KALAT,KALAT,CHAPAR,CHATI,Boys,High,Higher Secondary,140,Yes,Need Repair,No,66.4140690268188,29.0425325692054,0,1,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:17
3291,GBHS MIAN PASAND KHAN,KALAT,KALAT,KALAT,CHAPAR,MIAN PASAND KHAN,Boys,High,Higher Secondary,124,Yes,Need Repair,Yes,66.4339022910548,29.1116785648557,0,1,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:17
3309,GBHS JOHAN,KALAT,KALAT,JOHAN,JOHAN,JOHAN,Boys,High,Higher Secondary,124,Yes,Need Repair,Yes,66.9716117113474,29.3321875114221,0,0,"No Higher Secondary school within 10.0km, only High school in area",10.0,2025-07-29 16:47:17
3100,GBHS KHEESOON DOON,KALAT,KALAT,KALAT,BENCHA,KHEESOON DOON,Boys,High,Higher Secondary,120,Yes,Satisfactory ,No,66.3732275138554,28.709294765116,0,1,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:17
3250,GBHS RODENJOO,KALAT,KALAT,KALAT,BENCHA,RODEEN JOO,Boys,High,Higher Secondary,120,Yes,Satisfactory ,Yes,66.4666695631078,28.8533160933596,0,0,"No Higher Secondary school within 10.0km, only High school in area",10.0,2025-07-29 16:47:17
8473,GBHS BAINCHA,KALAT,KALAT,KALAT,BENCHA,BAINCHA,Boys,High,Higher Secondary,103,Yes,Need Repair,No,66.38191973058,28.7727871395401,0,1,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:17
3193,GBHS MUHAMMAD TAWA,KALAT,KALAT,KALAT,MOHAMMAD TAWA,MOHAMMAD TAWA,Boys,High,Higher Secondary,81,Yes,Need Repair,No,66.5385207210792,28.633689874318,0,0,"No Higher Secondary school within 10.0km, only High school in area",10.0,2025-07-29 16:47:17
14574,GBPS SARDAR MUHAMMAD ALAM SASOLI CHASAR,CHAGHI,DALBANDIN,-,PADAG,KILLI SARDAR MUHAMMA,Boys,Primary,Middle,74,Yes,Satisfactory ,No,65.0629336922303,28.9295434140383,0,1,"No Middle school within 10.0km, highest enrollment in area",10.0,2025-07-29 16:47:17
