BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,VillageName,Gender,CurrentLevel,RecommendedLevel,TotalStudentProfileEntered,Building,BuildingCondition,ElectricityInSchool,Latitude,Longitude,NearbyHigherSchools,NearbySameLevelSchools,UpgradeReason,SearchRadius_km,AnalysisDate
4010,GBPS ABDUL HAMEED DUMAR,ZIARAT,SINJAVI,Sinawi,REGORAH,KILLI ABDUL HAMEED,Boys,Primary,Middle,135,Yes,Satisfactory ,No,68.1852685319498,30.3054993094854,0,3,"No Middle school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
15574,GBPS KILLI GHUNZA SINJAVI,ZIARAT,SINJAVI,Sinjawi,SADDAR SAMLAN,KILLI GHUNZA SINJAVI,Boys,Primary,Middle,36,Yes,Need Repair,No,67.9130204172486,30.4465144979269,0,0,"No Middle school within 7.0km, only Primary school in area",7.0,2025-07-29 12:26:17
1012,GBMIDS SASSNAK MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,SASSNAK MANA,Boys,Middle,Secondary,244,Yes,Need Repair,No,67.7860088975649,30.4802748664046,0,2,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
9651,GGMIDS UZLAIZE (SINJAVI),ZIARAT,SINJAVI,Sinjawi,SADDAR SAMLAN,UZLAIZE,Girls,Middle,Secondary,174,Yes,Need Repair,No,68.2860639791853,30.2688702801683,0,2,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1074,GBMIDS ZARGI,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,ZARGAI,Boys,Middle,Secondary,164,Yes,Need Repair,No,67.6890192104462,30.5047551970318,0,3,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1064,GBMIDS SIRKI AHMADOON,ZIARAT,ZIARAT,ZIARAT,SAROO,SIRKI AHMADOON,Boys,Middle,Secondary,152,Yes,Need Repair,No,67.3372184425919,30.5075154257315,0,2,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
10440,GGMIDS AHMED ABAD MANNA,ZIARAT,ZIARAT,Ziarat,ZANDRA,AHMED ABAD MANNA,Girls,Middle,Secondary,148,Yes,Need Repair,No,67.7286064877656,30.4693325636895,0,4,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1041,GGMIDS PITAO AHMEDON,ZIARAT,ZIARAT,ZIARAT,SAROO,PITAO AHMEDON,Girls,Middle,Secondary,142,Yes,Need Repair,No,67.3694287339445,30.4807878389002,0,2,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1061,GBMIDS GOGI,ZIARAT,ZIARAT,KACH,SAROO,GOGI,Boys,Middle,Secondary,130,Yes,Need Repair,No,67.4394410960264,30.4936037439645,0,3,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
4039,GGMIDS POI SHARIF,ZIARAT,SINJAVI,Sinjawi,POI,POI SHARIF,Girls,Middle,Secondary,82,Yes,Need Repair,No,68.0786512565996,30.3484293034421,0,1,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
13335,GBMIDS MADRESA FAROOQIA KANEBI AUGHBRARG,ZIARAT,SINJAVI,SINJAWI,POI,KANEBI AUGHBRARG,Boys,Middle,Secondary,65,Yes,Satisfactory ,No,68.4685670595316,30.3686084791677,0,0,"No Secondary school within 7.0km, only Middle school in area",7.0,2025-07-29 12:26:17
13011,GBMIDS JAFFAR ABAD,ZIARAT,SINJAVI,Sinjawi,CHOUTAIR,JAFFAR ABAD,Boys,Middle,Secondary,28,Yes,Need Repair,No,68.0251215255421,30.3224336805846,0,1,"No Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1033,GGHS ZIARAT,ZIARAT,ZIARAT,Ziarat,ZIARAT,ZIARAT,Girls,High,Higher Secondary,503,Yes,Satisfactory ,Yes,67.7234632169188,30.3843314947686,0,5,"No Higher Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1072,GBHS MANNA,ZIARAT,ZIARAT,ZIARAT,MANNA , MANNA,Boys,High,Higher Secondary,377,Yes,Need Repair,Yes,67.7416928324172,30.4673628424048,0,5,"No Higher Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1073,GGHS ZARGI KILLI ABDULLAH JAN,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,ZARGI,Girls,High,Higher Secondary,333,Yes,Need Repair,Yes,67.6962602314296,30.4924891395617,0,6,"No Higher Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1075,GBHS SPAZUNDI,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,SPAZANDI ,Boys,High,Higher Secondary,305,Yes,Need Repair,No,67.667685038328,30.5222495787251,0,5,"No Higher Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
4130,GBHS POI SHARIF,ZIARAT,SINJAVI,Sinjawi,POI,POI SHARIF,Boys,High,Higher Secondary,254,Yes,Need Repair,Yes,68.0791715701525,30.3476628477131,0,0,"No Higher Secondary school within 7.0km, only High school in area",7.0,2025-07-29 12:26:17
1059,GBHS CHEENA,ZIARAT,ZIARAT,ziarat,ZANDRA,CHEENA,Boys,High,Higher Secondary,237,Yes,Need Repair,No,67.647841773423,30.4441477167627,0,6,"No Higher Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
1003,GBHS MASORY MANA,ZIARAT,ZIARAT,ZIARAT ,MANNA ,MASORY MANA,Boys,High,Higher Secondary,231,Yes,Need Repair,No,67.7310796967627,30.4691457626936,0,5,"No Higher Secondary school within 7.0km, highest enrollment in area",7.0,2025-07-29 12:26:17
