BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,VillageName,Gender,CurrentLevel,RecommendedLevel,TotalStudentProfileEntered,Building,BuildingCondition,ElectricityInSchool,Latitude,Longitude,NearbyHigherSchools,NearbySameLevelSchools,UpgradeReason,SearchRadius_km,AnalysisDate
4972,GBMIDS AHMED KHAN ZAI,QUETTA,CHILTAN,CHILTAN,AHMED KHANZAI,AHMED KHAN ZAI,Boys,Middle,Higher,888,Yes,Need Repair,Yes,66.9805167854017,30.1612316293929,0,80,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
4970,GBMIDS YATE ROAD,QUETTA,ZARGHOON,QUETTA,SHARA IQBAL,YATE ROAD QUETTA,Boys,Middle,Higher,859,Yes,Need Repair,Yes,67.01323437,30.19385403,0,82,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
5102,GBMIDS MUSLIM ITEHAD COLONY,QUETTA,CHILTAN,QUETTA,LORE KAREZ,MUSLIM ITEHAD COLONY,Boys,Middle,Higher,812,Yes,Need Repair,No,67.0086786696183,30.1543030977447,0,82,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
3429,GGMIDS LOHARH KARAIZ,QUETTA,CHILTAN,QUETTA,KACHI BAIG,LOHARH KARAIZ,Girls,Middle,Higher,767,Yes,Need Repair,Yes,66.9921917698853,30.1580870196333,0,80,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
4976,GBMIDS RAILWAY COLONY,QUETTA,CHILTAN,quetta,DEBA,RAILWAY COLONY QUETTA,Boys,Middle,Higher,676,Yes,Need Repair,Yes,66.9996962808309,30.1959773471883,0,81,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
3421,GGMIDS KILLI KOTWAL,QUETTA,ZARGHOON,Zarghoon,"U/C 49, KOTWAL",KILLI KOTWAL,Girls,Middle,Higher,641,Yes,Satisfactory ,Yes,67.00979557,30.23752225,0,81,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
9621,GGMIDS SIDDIQUE ABAD,QUETTA,CHILTAN,CHILTAN,SHADIN ZAI,SIDDIQUE ABAD,Girls,Middle,Higher,598,Yes,Satisfactory ,No,66.9672333701982,30.2170167573367,0,80,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
4913,GBMIDS KHILJI COLONY SARIAB KILLI SHAMOZAI,QUETTA,CHILTAN,Quetta,KACHI BAIG,KHILJI COLONY,Boys,Middle,Higher,580,Yes,Satisfactory ,No,66.9985962835535,30.1405632369632,0,81,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
4849,GBMIDS GRID BANGUL ZAI SARIAB,QUETTA,CHILTAN,QUETTA,QAMBRANI,KILLI GRID BANGAL ZAI,Boys,Middle,Higher,566,Yes,Satisfactory ,No,66.9794692353728,30.1524247970603,0,80,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
10323,GGMIDS KILLI GISHKORI CHILTAN LIONS,QUETTA,CHILTAN,quetta,SABZAL ROAD,FEROZ ABAD,Girls,Middle,Higher,507,Yes,Satisfactory ,No,66.9805266666666,30.172455,0,80,"No Higher school within 15.0km, highest enrollment in area",15.0,2025-07-29 12:57:16
