BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,VillageName,Gender,CurrentLevel,RecommendedLevel,TotalStudentProfileEntered,Building,BuildingCondition,ElectricityInSchool,Latitude,Longitude,NearbyHigherSchools,NearbySameLevelSchools,UpgradeReason,SearchRadius_km,AnalysisDate
3999,GBPS NOOR MUHAMMAD DUMAR,ZIARAT,SINJAVI,Sinjawi,SADDAR SAMLAN,KILLI NOOR MUHAMMAD ,Boys,Primary,Middle,174,Yes,Need Repair,No,68.31595136,30.26102433,0,3,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
4010,GBPS ABDUL HAMEED DUMAR,ZIARAT,SINJAVI,Sinawi,REGORAH,KILLI ABDUL HAMEED,Boys,Primary,Middle,135,Yes,Satisfactory ,No,68.18526853,30.30549931,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
4129,GBPS UCHWANI TORE GUL,ZIARAT,SINJAVI,Sinjawi,CHOUTAIR,KILLI HAJI TOOR GUL,Boys,Primary,Middle,119,Yes,Need Repair,Yes,68.12371096,30.31071458,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1078,GBPS LILE GUT,ZIARAT,ZIARAT,ZIARAT ,SPAZANDI ,LILE GUT,Boys,Primary,Middle,103,Yes,Satisfactory ,No,67.64686882,30.52564469,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1069,GBPS CHUNGI BALA,ZIARAT,ZIARAT,KACH,SAROO,CHUGI BALA,Boys,Primary,Middle,95,Yes,Need Repair,No,67.39490756,30.49405566,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
1095,GBPS MULLA HOTAN,ZIARAT,ZIARAT,ZIARAT,ZANDRA,KILLI MULLAH HOTAN,Boys,Primary,Middle,71,Yes,Need Repair,No,67.68097831,30.42659042,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1089,GBPS KILLI RAGHA KAWAS,ZIARAT,ZIARAT,ZIARAT,KAWAS,RAGHA KAWAS,Boys,Primary,Middle,61,Yes,Need Repair,No,67.61317831,30.46139151,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1079,GBPS SPERA RAGHA,ZIARAT,ZIARAT,ZIARAT ,SPAZANDI ,SPERA RAGHA  THANA,Boys,Primary,Middle,51,Yes,,No,67.6479192,30.51120494,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
4126,GBPS RAZA WANICHI,ZIARAT,SINJAVI,Sinjawi,CHOUTAIR,KILLI RAZA WANICHI,Boys,Primary,Middle,50,Yes,Satisfactory ,No,67.81130095,30.37459568,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
10439,GGPS MULLA HOTAN,ZIARAT,ZIARAT,Ziarat,ZANDRA,MULA HOTAN PACHI DAM,Girls,Primary,Middle,44,Yes,Satisfactory ,No,67.66066106,30.43044723,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
18047,GPS  TANDAWANI,ZIARAT,SINJAVI,sinjawi,KAZA,KILLI TANDAWANI,Girls,Primary,Middle,44,Yes,Satisfactory ,No,67.99429466,30.33219636,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
11938,GGPS KILLI POIE LANDNI HASSAN ABAD,ZIARAT,SINJAVI,Sinjawi,POI,KILLI POIE LADNAY,Girls,Primary,Middle,43,Yes,Satisfactory ,No,68.0365668,30.36286261,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
1096,GBPS PICHI KARAIZ,ZIARAT,ZIARAT,ZIARAT,ZANDRA,PICHI KAREZ,Boys,Primary,Middle,40,Yes,Need Repair,No,67.68048918,30.42618596,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
4009,GBPS KHARASHANG,ZIARAT,SINJAVI,Sinjawi,BAGHAW,KHARSHANG,Boys,Primary,Middle,40,Yes,Satisfactory ,No,68.50365019,30.25007974,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
1090,GBPS SRA  KHAZI,ZIARAT,ZIARAT,ZIARAT,KACH,SIRA KHAZI,Boys,Primary,Middle,37,Yes,Need Repair,No,67.47824726,30.44924428,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
15574,GBPS KILLI GHUNZA SINJAVI,ZIARAT,SINJAVI,Sinjawi,SADDAR SAMLAN,KILLI GHUNZA SINJAVI,Boys,Primary,Middle,36,Yes,Need Repair,No,67.91302042,30.4465145,0,0,"No Middle school within 2.0km, only Primary school in area",2.0,2025-10-03 16:20:20
14679,GBPS LUNDI SPINZANDI,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,LUNDI SPINZANDI,Boys,Primary,Middle,35,Yes,Need Repair,No,67.67116494,30.52319521,0,1,"No Middle school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1012,GBMIDS SASSNAK MANA,ZIARAT,ZIARAT,ZIARAT,MANNA ,SASSNAK MANA,Boys,Middle,High,244,Yes,Need Repair,No,67.7860089,30.48027487,0,0,"No High school within 2.0km, only Middle school in area",2.0,2025-10-03 16:20:20
9651,GGMIDS UZLAIZE (SINJAVI),ZIARAT,SINJAVI,Sinjawi,SADDAR SAMLAN,UZLAIZE,Girls,Middle,High,174,Yes,Need Repair,No,68.28606398,30.26887028,0,0,"No High school within 2.0km, only Middle school in area",2.0,2025-10-03 16:20:20
1064,GBMIDS SIRKI AHMADOON,ZIARAT,ZIARAT,ZIARAT,SAROO,SIRKI AHMADOON,Boys,Middle,High,152,Yes,Need Repair,No,67.33721844,30.50751543,0,0,"No High school within 2.0km, only Middle school in area",2.0,2025-10-03 16:20:20
1061,GBMIDS GOGI,ZIARAT,ZIARAT,KACH,SAROO,GOGI,Boys,Middle,High,130,Yes,Need Repair,No,67.4394411,30.49360374,0,0,"No High school within 2.0km, only Middle school in area",2.0,2025-10-03 16:20:20
1055,GBMIDS TUNGI,ZIARAT,ZIARAT,ZIARAT,SAROO,TANGI,Boys,Middle,High,114,Yes,Need Repair,No,67.47411114,30.54742038,0,1,"No High school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1042,GGMIDS SARMAKHSI,ZIARAT,ZIARAT,ZIARAT,SAROO,SARMAKHSI,Girls,Middle,High,87,Yes,Satisfactory ,No,67.47812328,30.53406004,0,1,"No High school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
18051,GGMIDS  AGHBARG GHULAM MUHAMMAD,ZIARAT,SINJAVI,Sinjavi,AGHBARG,KILLI AGHBARG GHULAM MUHAMMAD,Girls,Middle,High,74,Yes,Satisfactory ,No,68.38780902,30.35351881,0,0,"No High school within 2.0km, only Middle school in area",2.0,2025-10-03 16:20:20
13335,GBMIDS MADRESA FAROOQIA KANEBI AUGHBRARG,ZIARAT,SINJAVI,SINJAWI,POI,KANEBI AUGHBRARG,Boys,Middle,High,65,Yes,Satisfactory ,No,68.46856706,30.36860848,0,0,"No High school within 2.0km, only Middle school in area",2.0,2025-10-03 16:20:20
1033,GGHS ZIARAT,ZIARAT,ZIARAT,Ziarat,ZIARAT,ZIARAT,Girls,High,Higher Secondary,503,Yes,Satisfactory ,Yes,67.72346322,30.38433149,0,0,"No Higher Secondary school within 2.0km, only High school in area",2.0,2025-10-03 16:20:20
1072,GBHS MANNA,ZIARAT,ZIARAT,ZIARAT,MANNA , MANNA,Boys,High,Higher Secondary,377,Yes,Need Repair,Yes,67.74169283,30.46736284,0,1,"No Higher Secondary school within 2.0km, highest enrollment in area",2.0,2025-10-03 16:20:20
1073,GGHS ZARGI KILLI ABDULLAH JAN,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,ZARGI,Girls,High,Higher Secondary,333,Yes,Need Repair,Yes,67.69626023,30.49248914,0,0,"No Higher Secondary school within 2.0km, only High school in area",2.0,2025-10-03 16:20:20
